src,dst,cosine_sim
23,4102,0.9477374
23,12137,0.9483243
23,13701,0.90863615
23,13703,0.9071247
23,15227,0.9341241
23,21117,0.9435529
23,22049,0.912171
23,22597,0.95015275
23,23095,0.93266374
23,23141,0.94037205
23,32746,0.93894404
23,46161,0.9484438
51,4102,0.9078605
123,27416,1.0
150,27521,1.0
150,29198,1.0
260,27709,0.99132556
275,27724,0.90908444
289,27741,0.9391229
320,27768,0.96044654
325,27776,1.0
368,44055,1.0
402,27873,1.0
426,27908,0.96115696
448,27928,0.93378615
461,11114,1.0
471,27959,0.92763215
507,28003,0.99915415
540,28044,0.90534943
561,28072,0.97939277
565,28079,0.98574746
569,28083,0.92171305
572,11136,1.0
572,29222,1.0
572,31778,1.0
572,42276,1.0
582,10467,0.9917083
582,15196,0.99999994
582,16824,0.99999994
582,19884,0.99999994
582,25586,0.9917083
620,4062,1.0
620,9200,1.0
620,24683,1.0
620,29224,1.0
620,30106,1.0
620,31549,1.0
888,15266,0.965878
888,44195,1.0
1021,1426,0.99999994
1426,1021,0.99999994
1468,5898,1.0
1855,24280,0.9558551
1855,25786,0.9051625
1855,33070,0.9051625
1855,33084,0.9033676
1855,34305,0.9051625
1876,41908,1.0
2768,2769,0.91136485
2769,2768,0.91136485
3144,3150,0.99999994
3150,3144,0.99999994
3303,41787,1.0
3442,3676,1.0
3676,3442,1.0
3767,4008,0.9688158
3850,3854,0.99999994
3854,3850,0.99999994
4008,3767,0.9688158
4062,620,1.0
4062,9200,1.0
4062,24683,1.0
4062,29224,1.0
4062,30106,1.0
4062,31549,1.0
4102,23,0.9477374
4102,51,0.9078605
4102,12137,0.98964494
4102,13701,0.9453837
4102,13703,0.93831193
4102,15227,0.970744
4102,20297,0.92336506
4102,21117,0.9836208
4102,22049,0.94722277
4102,22597,0.9876384
4102,23095,0.9692694
4102,23141,0.9839251
4102,32746,0.9792173
4102,46161,0.9895642
4267,12429,0.91987693
4745,18686,0.9110156
4745,29028,0.9245974
4745,32007,0.90915376
5058,21200,1.0
5073,5090,1.0
5073,5103,1.0
5073,5112,1.0
5074,5080,1.0
5076,5081,0.99999994
5076,5083,0.99999994
5076,5085,0.99999994
5076,5099,0.99999994
5076,5118,0.99999994
5077,5078,0.99999994
5078,5077,0.99999994
5079,5101,0.91873497
5079,5102,1.0
5080,5074,1.0
5081,5076,0.99999994
5081,5083,0.99999994
5081,5085,0.99999994
5081,5099,0.99999994
5081,5118,0.99999994
5083,5076,0.99999994
5083,5081,0.99999994
5083,5085,0.99999994
5083,5099,0.99999994
5083,5118,0.99999994
5084,11097,0.9361343
5084,24479,0.93496346
5085,5076,0.99999994
5085,5081,0.99999994
5085,5083,0.99999994
5085,5099,0.99999994
5085,5118,0.99999994
5086,5109,0.9843049
5090,5073,1.0
5090,5103,1.0
5090,5112,1.0
5091,5111,0.952347
5099,5076,0.99999994
5099,5081,0.99999994
5099,5083,0.99999994
5099,5085,0.99999994
5099,5118,0.99999994
5101,5079,0.91873497
5101,5102,0.91873497
5102,5079,1.0
5102,5101,0.91873497
5103,5073,1.0
5103,5090,1.0
5103,5112,1.0
5109,5086,0.9843049
5111,5091,0.952347
5112,5073,1.0
5112,5090,1.0
5112,5103,1.0
5113,5115,1.0
5115,5113,1.0
5118,5076,0.99999994
5118,5081,0.99999994
5118,5083,0.99999994
5118,5085,0.99999994
5118,5099,0.99999994
5604,42007,1.0
5898,1468,1.0
6204,6306,0.99660045
6306,6204,0.99660045
6902,24722,1.0
6902,27491,1.0
6902,32662,1.0
6902,32732,1.0
7472,7647,1.0
7519,18686,0.92890924
7519,29028,0.94523734
7519,32007,0.92768
7519,44803,0.90095174
7622,9794,0.99999994
7622,9905,0.99999994
7622,9942,0.99999994
7622,24727,0.99999994
7622,29484,0.99999994
7647,7472,1.0
7814,7815,1.0
7815,7814,1.0
8073,8255,1.0
8116,20437,1.0
8116,26274,1.0
8116,32749,0.90930355
8135,14593,0.9096011
8135,24572,0.955132
8135,30999,0.9637553
8135,44966,0.93953234
8255,8073,1.0
8314,20375,1.0
8693,8806,1.0
8806,8693,1.0
9050,10449,0.9409657
9050,10497,0.9409657
9050,13692,0.9409657
9050,16985,1.0000001
9050,19889,1.0000001
9050,20388,0.9409657
9050,26623,0.9409657
9050,33672,0.9409657
9050,44457,0.9409657
9200,620,1.0
9200,4062,1.0
9200,24683,1.0
9200,29224,1.0
9200,30106,1.0
9200,31549,1.0
9589,9593,1.0
9593,9589,1.0
9596,9597,1.0000001
9596,9598,1.0000001
9597,9596,1.0000001
9597,9598,1.0000001
9598,9596,1.0000001
9598,9597,1.0000001
9618,15200,0.9059704
9711,9734,1.0
9711,9740,1.0
9711,9746,1.0
9711,9748,1.0
9711,9886,1.0
9734,9711,1.0
9734,9740,1.0
9734,9746,1.0
9734,9748,1.0
9734,9886,1.0
9735,9750,1.0
9735,9888,1.0
9735,10648,1.0
9738,9741,1.0
9738,9747,1.0
9738,9754,1.0
9738,9755,1.0
9738,9757,1.0
9738,9772,1.0
9740,9711,1.0
9740,9734,1.0
9740,9746,1.0
9740,9748,1.0
9740,9886,1.0
9741,9738,1.0
9741,9747,1.0
9741,9754,1.0
9741,9755,1.0
9741,9757,1.0
9741,9772,1.0
9742,9758,1.0
9742,9761,1.0
9742,9762,1.0
9742,9764,1.0
9742,9767,1.0
9742,9768,1.0
9742,9769,1.0
9742,9770,1.0
9742,9910,1.0
9742,9911,1.0
9742,10115,1.0
9746,9711,1.0
9746,9734,1.0
9746,9740,1.0
9746,9748,1.0
9746,9886,1.0
9747,9738,1.0
9747,9741,1.0
9747,9754,1.0
9747,9755,1.0
9747,9757,1.0
9747,9772,1.0
9748,9711,1.0
9748,9734,1.0
9748,9740,1.0
9748,9746,1.0
9748,9886,1.0
9750,9735,1.0
9750,9888,1.0
9750,10648,1.0
9752,9763,0.99999994
9752,9775,0.99999994
9752,10066,0.99999994
9753,9881,0.99999994
9753,9891,0.99999994
9753,9901,0.99999994
9753,9902,0.99999994
9754,9738,1.0
9754,9741,1.0
9754,9747,1.0
9754,9755,1.0
9754,9757,1.0
9754,9772,1.0
9755,9738,1.0
9755,9741,1.0
9755,9747,1.0
9755,9754,1.0
9755,9757,1.0
9755,9772,1.0
9756,10103,0.9963626
9757,9738,1.0
9757,9741,1.0
9757,9747,1.0
9757,9754,1.0
9757,9755,1.0
9757,9772,1.0
9758,9742,1.0
9758,9761,1.0
9758,9762,1.0
9758,9764,1.0
9758,9767,1.0
9758,9768,1.0
9758,9769,1.0
9758,9770,1.0
9758,9910,1.0
9758,9911,1.0
9758,10115,1.0
9761,9742,1.0
9761,9758,1.0
9761,9762,1.0
9761,9764,1.0
9761,9767,1.0
9761,9768,1.0
9761,9769,1.0
9761,9770,1.0
9761,9910,1.0
9761,9911,1.0
9761,10115,1.0
9762,9742,1.0
9762,9758,1.0
9762,9761,1.0
9762,9764,1.0
9762,9767,1.0
9762,9768,1.0
9762,9769,1.0
9762,9770,1.0
9762,9910,1.0
9762,9911,1.0
9762,10115,1.0
9763,9752,0.99999994
9763,9775,0.99999994
9763,10066,0.99999994
9764,9742,1.0
9764,9758,1.0
9764,9761,1.0
9764,9762,1.0
9764,9767,1.0
9764,9768,1.0
9764,9769,1.0
9764,9770,1.0
9764,9910,1.0
9764,9911,1.0
9764,10115,1.0
9765,9898,1.0
9767,9742,1.0
9767,9758,1.0
9767,9761,1.0
9767,9762,1.0
9767,9764,1.0
9767,9768,1.0
9767,9769,1.0
9767,9770,1.0
9767,9910,1.0
9767,9911,1.0
9767,10115,1.0
9768,9742,1.0
9768,9758,1.0
9768,9761,1.0
9768,9762,1.0
9768,9764,1.0
9768,9767,1.0
9768,9769,1.0
9768,9770,1.0
9768,9910,1.0
9768,9911,1.0
9768,10115,1.0
9769,9742,1.0
9769,9758,1.0
9769,9761,1.0
9769,9762,1.0
9769,9764,1.0
9769,9767,1.0
9769,9768,1.0
9769,9770,1.0
9769,9910,1.0
9769,9911,1.0
9769,10115,1.0
9770,9742,1.0
9770,9758,1.0
9770,9761,1.0
9770,9762,1.0
9770,9764,1.0
9770,9767,1.0
9770,9768,1.0
9770,9769,1.0
9770,9910,1.0
9770,9911,1.0
9770,10115,1.0
9772,9738,1.0
9772,9741,1.0
9772,9747,1.0
9772,9754,1.0
9772,9755,1.0
9772,9757,1.0
9775,9752,0.99999994
9775,9763,0.99999994
9775,10066,0.99999994
9794,7622,0.99999994
9794,9905,0.99999994
9794,9942,0.99999994
9794,24727,0.99999994
9794,29484,0.99999994
9873,27514,1.0
9881,9753,0.99999994
9881,9891,0.99999994
9881,9901,0.99999994
9881,9902,0.99999994
9886,9711,1.0
9886,9734,1.0
9886,9740,1.0
9886,9746,1.0
9886,9748,1.0
9888,9735,1.0
9888,9750,1.0
9888,10648,1.0
9891,9753,0.99999994
9891,9881,0.99999994
9891,9901,0.99999994
9891,9902,0.99999994
9898,9765,1.0
9900,9903,0.99999994
9901,9753,0.99999994
9901,9881,0.99999994
9901,9891,0.99999994
9901,9902,0.99999994
9902,9753,0.99999994
9902,9881,0.99999994
9902,9891,0.99999994
9902,9901,0.99999994
9903,9900,0.99999994
9905,7622,0.99999994
9905,9794,0.99999994
9905,9942,0.99999994
9905,24727,0.99999994
9905,29484,0.99999994
9910,9742,1.0
9910,9758,1.0
9910,9761,1.0
9910,9762,1.0
9910,9764,1.0
9910,9767,1.0
9910,9768,1.0
9910,9769,1.0
9910,9770,1.0
9910,9911,1.0
9910,10115,1.0
9911,9742,1.0
9911,9758,1.0
9911,9761,1.0
9911,9762,1.0
9911,9764,1.0
9911,9767,1.0
9911,9768,1.0
9911,9769,1.0
9911,9770,1.0
9911,9910,1.0
9911,10115,1.0
9942,7622,0.99999994
9942,9794,0.99999994
9942,9905,0.99999994
9942,24727,0.99999994
9942,29484,0.99999994
9994,10392,1.0
10058,33513,1.0
10066,9752,0.99999994
10066,9763,0.99999994
10066,9775,0.99999994
10103,9756,0.9963626
10115,9742,1.0
10115,9758,1.0
10115,9761,1.0
10115,9762,1.0
10115,9764,1.0
10115,9767,1.0
10115,9768,1.0
10115,9769,1.0
10115,9770,1.0
10115,9910,1.0
10115,9911,1.0
10165,17804,1.0
10169,20358,0.90323704
10169,27240,0.99999994
10169,29231,0.99999994
10169,32906,0.99999994
10169,39672,0.99999994
10231,44014,1.0
10392,9994,1.0
10449,9050,0.9409657
10449,10497,0.99999994
10449,13692,0.99999994
10449,16985,0.9409657
10449,19889,0.9409657
10449,20388,0.99999994
10449,26623,0.99999994
10449,33672,0.99999994
10449,44457,0.99999994
10467,582,0.9917083
10467,15196,0.9917083
10467,16824,0.9917083
10467,19884,0.9917083
10467,25586,1.0
10497,9050,0.9409657
10497,10449,0.99999994
10497,13692,0.99999994
10497,16985,0.9409657
10497,19889,0.9409657
10497,20388,0.99999994
10497,26623,0.99999994
10497,33672,0.99999994
10497,44457,0.99999994
10648,9735,1.0
